region;tik;uik;uik_url;uik_address;uik_voteroom_address;uik_geocoding_address;geocoding_kind;geocoding_precision;lat;lon;voters_include;weight;population
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №928;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185563;"188540, Ленинградская область, г. Сосновый Бор, ул.Комсомольская, д.2А, МБОУДО ""Дом детского творчества"" , Лекционный зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Комсомольская, д.2А, МБОУДО ""Дом детского творчества"" , Лекционный зал";Россия, Ленинградская область, Сосновый Бор, Комсомольская улица, 2А;house;exact;59.886451;29.090225;2817.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №929;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185568;"188540, Ленинградская область, г. Сосновый Бор, ул. Комсомольская, д.11, МБОУ ""СОШ №1"", рекреация, 1 этаж, каб. 1-13";"188540, Ленинградская область, г. Сосновый Бор, ул. Комсомольская, д.11, МБОУ ""СОШ №1"", рекреация, 1 этаж, каб. 1-13";Россия, Ленинградская область, Сосновый Бор, Комсомольская улица, 11;house;exact;59.890397;29.089748999999998;2511.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №930;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185570;"188540, Ленинградская область, г. Сосновый Бор, ул.Комсомольская, д.11, МБОУ ""СОШ №1"", рекреация, 1 этаж, каб. 14-18";"188540, Ленинградская область, г. Сосновый Бор, ул.Комсомольская, д.11, МБОУ ""СОШ №1"", рекреация, 1 этаж, каб. 14-18";Россия, Ленинградская область, Сосновый Бор, Комсомольская улица, 11;house;exact;59.890397;29.089748999999998;2401.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №931;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185572;"188540, Ленинградская область, г. Сосновый Бор, ул.Космонавтов, д.14, МБОУ ""СОШ №2 с углубленным изучением английского языка"", спортивный зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Космонавтов, д.14, МБОУ ""СОШ №2 с углубленным изучением английского языка"", спортивный зал";Россия, Ленинградская область, Сосновый Бор, улица Космонавтов, 2;house;exact;59.894879;29.095938;2259.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №932;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185574;"188540, Ленинградская область, г. Сосновый Бор, ул.Космонавтов, д.14, МБОУ ""СОШ №2 с углубленным изучением английского языка"", столовая";"188540, Ленинградская область, г. Сосновый Бор, ул.Космонавтов, д.14, МБОУ ""СОШ №2 с углубленным изучением английского языка"", столовая";Россия, Ленинградская область, Сосновый Бор, улица Космонавтов, 2;house;exact;59.894879;29.095938;1066.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №933;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185576;"188540, Ленинградская область, Сосновоборский городской округ, ул. Космонавтов, д.22, ГАПОУ ЛО ""Сосновоборский политехнический колледж"", рекреация, 1 этаж";"188540, Ленинградская область, Сосновоборский городской округ, ул. Космонавтов, д.22, ГАПОУ ЛО ""Сосновоборский политехнический колледж"", рекреация, 1 этаж";;;not found;;;2053.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №934;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185578;"188540, Ленинградская область, г. Сосновый Бор, ул.Малая Земля, д.5, МБОУ ""СОШ №3"", рекреация, 1 этаж";"188540, Ленинградская область, г. Сосновый Бор, ул.Малая Земля, д.5, МБОУ ""СОШ №3"", рекреация, 1 этаж";Россия, Ленинградская область, Сосновый Бор, улица Малая Земля, 5;house;exact;59.908263;29.091734000000002;2108.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №935;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185580;"188540, Ленинградская область, г. Сосновый Бор, ул.Малая Земля, д.5, МБОУ ""СОШ №3"", спорт. зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Малая Земля, д.5, МБОУ ""СОШ №3"", спорт. зал";Россия, Ленинградская область, Сосновый Бор, улица Малая Земля, 3;house;exact;59.907428;29.090162;2107.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №936;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185582;"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.36, МБОУ ""СОШ №4"", рекреация, 1 этаж, нач. школа";"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.36, МБОУ ""СОШ №4"", рекреация, 1 этаж, нач. школа";Россия, Ленинградская область, Сосновый Бор, проспект Героев, 36;house;exact;59.905871999999995;29.083999;1363.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №937;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185584;"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.36, МБОУ ""СОШ №4"", спорт. зал";"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.36, МБОУ ""СОШ №4"", спорт. зал";Россия, Ленинградская область, Сосновый Бор, проспект Героев, 4;house;exact;59.9021;29.086371000000003;1018.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №938;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185586;"188540, Ленинградская область, г. Сосновый Бор, ул.Солнечная, д.31, МБОУ ""Гимназия № 5"", спорт. зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Солнечная, д.31, МБОУ ""Гимназия № 5"", спорт. зал";Россия, Ленинградская область, Сосновый Бор, Солнечная улица, 5;house;exact;59.89552;29.087045;2357.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №939;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185588;"188540, Ленинградская область, г. Сосновый Бор, ул.Солнечная, д.31, МБОУ ""Гимназия №5"", столовая";"188540, Ленинградская область, г. Сосновый Бор, ул.Солнечная, д.31, МБОУ ""Гимназия №5"", столовая";Россия, Ленинградская область, Сосновый Бор, Солнечная улица, 5;house;exact;59.89552;29.087045;1100.0;;
